title,company,location,URL
Data Science Graduate Program,Bertelsmann SE &amp; Co. KGaA - Corporate Center,España,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BA3NfIPQdeFiObJux3KA6mAEJHKASivkOLnZGLQNtuedDpcRx3uB3o8D6odEEWhkEr8JLY-pSQR_1AEpO83vBKTqNqj_dF-Kc1jq2MNVgMVoi4JA8NWhTRrD-ddrdzESZRPY2eumnHh7sdNVNvMYJkPk2bXDgtyC7p65jEUDamlvsKlOMFqmWeHj8r6LZ0Wn61KuPMY0XB06U-Ra-MZypPgq3rm2pzY3hzVsS7neRWN1OdZaoh5nsgkEEoyWvOFhKIStuVzd_6dqo13qZlW9mNiZOuyLeFLpErtbPYlCGC9CdYxFG7NSYN5AX-DAfnHzP36zBSBbPM8KuyDvE-HWD5t2hIZNrDr4ccp0A-mtEx4_WDBvDuxJrIV4nOW2Jf1AB1k2lzV_kB5Lupnpih5fbnQl2RT5f2ZaRcW16IXHQeeQURKCZTpJSJBvTXvxp09QhNNGNQ1p0v9KQRCQ-0eG9IL3vThe7NVZro_vQHHtDXjeU4ShtP00u4&p=13&fvj=0&vjs=3
Senior Machine Learning Scientist,Amazon EU SARL (Spain Branch),"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=3bb59ee8dff2d373&fccid=fe2d21eef233e94a&vjs=3
Senior UX Researcher,King.com,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=0c748cca1839d1c3&fccid=cadcae9e8089792b&vjs=3
Senior UX Researcher,King,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=2f9f06e945b0531e&fccid=6d65cb9ba1f73d65&vjs=3
Product Manager,King,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=436640a5c225f817&fccid=6d65cb9ba1f73d65&vjs=3
Product / Business Performance Manager,King,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=c482f55c7744c61c&fccid=6d65cb9ba1f73d65&vjs=3
Product Manager,King.com,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=d84147f3ca1237a5&fccid=cadcae9e8089792b&vjs=3
Product / Business Performance Manager,King.com,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=f65e01c803a8b2cb&fccid=cadcae9e8089792b&vjs=3
DevOps Engineer,Adevinta,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=2cb89aebd227147f&fccid=5aecff49966a6ffd&vjs=3
Principal/Senior Product Manager - Fulfilment (m/f/d),FREE NOW,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=4bd669324155f462&fccid=07b8d34e6d6b631d&vjs=3
Data scientist (Barcelona),Krashlando,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=6f0b04cb9f2a5187&fccid=5e88048acc92e2e1&vjs=3
Medior Data Engineer,Full Orbit,"Barcelona, Barcelona provincia",https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHmRSAiKfn_6SJNYdHvOnGfi3mA1Tv1I-CchdVbcGCwWRiqOgnHORgHiYo9MDfu9SDCeJqycBKweyX91Iu-sCcec-CaRG1A3RBAj98Vk63hqUdtgcjmZ_2HN8M6iChOxSkTLw7tv8toPCp2sm_dmpMK9PiGhUwm8mtI9oF7mUdFiViADPSSqvwuQc5kmucB8n0Zuje8vOsPMZhBqN745LCyTNjKt7FJm6ViTyB9yvNsHsyP1Zmx6CMs9P7zidcUszwNLNPGV38PcnMA1Bmv8LIJvTot2sbTL9reFJhWhXXNbSz10oRXDOS5Ek9bKxMqcUArKeqYK0JbIAtMNvg5anEwoM7sFxU7kCJJqL5PTMp_vwP7zjPCUV6El5CbsxBcdsC9FVU3Z4JgKQ433ChgHnx0B6l-L573wAgqbYGwL3TMzzubXYegZ4jI3RHTd4gYKygGYctqn94z64NPlvBvzaE&p=10&fvj=1&vjs=3
